B_AB,B_R,B_H,B_AVG,B_RBI,B_BB,B_SO,B_SO/BB,B_SB,P_IP,P_H,P_Hed,P_R,P_ER,T_ERA,P_BB,P_SO,P_SO/BB,P_HR,P_#P,Result
34,6,9,0.264705882,5,2,6,3,1,9.0,6,0.176470588,2,1,0.222222222,3,4,1.333333333,0,7,win
42,3,9,0.214285714,3,6,12,2,1,12.0,13,0.30952381,4,3,0.333333333,4,4,1,1,9,lose
37,7,10,0.27027027,7,3,7,2.333333333,0,9.0,12,0.324324324,6,6,0.666666667,4,2,0.5,2,5,win
31,6,8,0.258064516,6,3,7,2.333333333,0,9.0,12,0.387096774,5,5,0.555555556,3,2,0.666666667,2,7,win
31,3,4,0.129032258,3,1,9,9,0,9.0,12,0.387096774,7,7,0.777777778,5,3,0.6,0,5,lose
33,3,7,0.212121212,3,4,9,2.25,0,9.0,7,0.212121212,6,6,0.666666667,4,7,1.75,0,7,lose
38,10,15,0.394736842,8,3,8,2.666666667,1,9.0,9,0.236842105,3,3,0.333333333,2,6,3,1,4,lose
27,2,4,0.148148148,2,3,3,1,0,9.0,3,0.111111111,0,0,0,3,9,3,0,4,win
35,3,9,0.257142857,3,2,10,5,1,9.0,9,0.257142857,1,1,0.111111111,2,3,1.5,0,7,win
37,6,10,0.27027027,6,2,7,3.5,0,9.0,8,0.216216216,1,1,0.111111111,1,3,3,0,3,win
29,2,4,0.137931034,2,4,7,1.75,1,9.0,9,0.310344828,1,1,0.111111111,3,3,1,1,7,win
40,4,11,0.275,4,2,9,4.5,2,10.0,5,0.125,3,3,0.3,3,8,2.666666667,0,6,win
38,7,12,0.315789474,7,0,5,0,2,8.2,12,0.315789474,8,8,0.975609756,6,3,0.5,0,7,lose
37,11,10,0.27027027,11,2,6,3,0,9.0,10,0.27027027,8,6,0.888888889,7,8,1.142857143,1,8,lose
37,6,11,0.297297297,5,1,4,4,1,8.0,14,0.378378378,9,9,1.125,2,8,4,2,5,lose
35,3,6,0.171428571,2,3,6,2,3,8.0,10,0.285714286,5,5,0.625,2,4,2,1,5,lose
47,4,12,0.255319149,4,4,7,1.75,2,12.0,14,0.29787234,4,2,0.333333333,6,5,0.833333333,0,9,draw
30,1,3,0.1,1,1,11,11,0,9.0,25,0.833333333,14,10,1.555555556,6,6,1,1,6,lose
34,9,12,0.352941176,9,4,5,1.25,0,9.0,11,0.323529412,8,8,0.888888889,4,5,1.25,1,6,win
19,3,5,0.263157895,2,0,3,0,3,5.0,5,0.263157895,3,3,0.6,1,5,5,2,3,draw
37,3,8,0.216216216,3,5,10,2,1,11.0,8,0.216216216,0,0,0,3,10,3.333333333,0,7,win
30,0,6,0.2,0,2,5,2.5,0,8.0,14,0.466666667,10,7,1.25,3,5,1.666666667,0,5,lose
33,2,5,0.151515152,2,2,7,3.5,1,8.0,10,0.303030303,4,4,0.5,2,3,1.5,1,5,lose
31,2,7,0.225806452,2,1,3,3,0,8.0,16,0.516129032,13,12,1.625,0,5,0,1,5,win
44,14,19,0.431818182,14,4,9,2.25,2,9.0,7,0.159090909,4,4,0.444444444,3,6,2,1,7,lose
35,6,9,0.257142857,6,4,6,1.5,1,9.0,4,0.114285714,1,1,0.111111111,3,4,1.333333333,0,4,win
39,7,12,0.307692308,7,1,11,11,0,9.0,6,0.153846154,2,2,0.222222222,1,7,7,1,5,win
36,10,13,0.361111111,7,3,4,1.333333333,0,10.0,15,0.416666667,9,9,0.9,1,5,5,2,7,lose
36,8,15,0.416666667,8,1,6,6,2,9.0,10,0.277777778,3,3,0.333333333,3,5,1.666666667,0,7,win
35,7,10,0.285714286,7,1,5,5,2,9.0,12,0.342857143,6,4,0.666666667,2,2,1,1,5,win
26,0,2,0.076923077,0,2,7,3.5,0,8.0,10,0.384615385,4,3,0.5,2,11,5.5,1,4,lose
30,1,7,0.233333333,1,2,9,4.5,0,8.0,11,0.366666667,6,5,0.75,0,2,0,0,6,lose
37,3,11,0.297297297,3,5,8,1.6,1,8.0,12,0.324324324,8,8,1,5,5,1,1,4,lose
36,5,11,0.305555556,5,3,7,2.333333333,1,8.0,11,0.305555556,7,7,0.875,2,4,2,1,4,lose
37,4,11,0.297297297,3,1,4,4,0,8.0,13,0.351351351,9,9,1.125,3,4,1.333333333,0,6,lose
35,2,7,0.2,2,3,6,2,0,10.0,6,0.171428571,3,1,0.3,3,9,3,0,5,lose
32,1,8,0.25,1,3,5,1.666666667,0,9.0,11,0.34375,3,3,0.333333333,1,6,6,1,6,lose
31,8,11,0.35483871,8,2,3,1.5,1,9.0,8,0.258064516,2,2,0.222222222,5,10,2,0,5,win
27,4,10,0.37037037,4,1,2,2,0,7.0,10,0.37037037,7,7,1,6,1,0.166666667,3,4,lose
38,5,12,0.315789474,5,1,6,6,0,9.0,13,0.342105263,9,9,1,3,6,2,1,6,lose
33,2,9,0.272727273,2,4,4,1,1,9.0,7,0.212121212,3,3,0.333333333,2,6,3,0,6,lose
32,0,5,0.15625,0,1,13,13,0,9.0,10,0.3125,7,7,0.777777778,3,5,1.666666667,2,6,lose
35,5,8,0.228571429,4,3,8,2.666666667,1,9.0,6,0.171428571,2,2,0.222222222,1,9,9,0,5,win
33,6,8,0.242424242,6,7,6,0.857142857,1,8.0,6,0.181818182,10,7,1.25,8,6,0.75,1,6,win
31,2,6,0.193548387,2,1,5,5,1,8.0,6,0.193548387,6,6,0.75,9,6,0.666666667,1,5,lose
38,5,13,0.342105263,5,4,7,1.75,1,8.0,14,0.368421053,10,10,1.25,5,6,1.2,3,7,win
33,2,9,0.272727273,2,0,5,0,1,8.2,7,0.212121212,3,3,0.365853659,4,6,1.5,0,3,lose
30,2,6,0.2,1,6,13,2.166666667,4,9.0,9,0.3,6,4,0.666666667,5,9,1.8,1,8,lose
39,19,17,0.435897436,19,6,7,1.166666667,2,9.0,12,0.307692308,7,7,0.777777778,3,4,1.333333333,3,6,lose
32,3,7,0.21875,3,1,3,3,1,9.0,12,0.375,4,4,0.444444444,3,8,2.666666667,1,6,lose
31,5,10,0.322580645,5,2,6,3,3,9.0,8,0.258064516,3,2,0.333333333,0,5,0,0,5,win
33,4,9,0.272727273,3,2,7,3.5,1,9.0,12,0.363636364,7,7,0.777777778,2,2,1,1,5,lose
36,2,10,0.277777778,2,2,9,4.5,1,9.0,13,0.361111111,7,7,0.777777778,4,6,1.5,2,7,lose
37,8,12,0.324324324,8,2,3,1.5,0,10.0,14,0.378378378,6,6,0.6,5,5,1,2,8,win
36,7,12,0.333333333,7,2,6,3,1,9.0,12,0.333333333,6,6,0.666666667,1,8,8,4,5,win
34,6,10,0.294117647,6,3,3,1,2,9.0,6,0.176470588,3,3,0.333333333,4,14,3.5,1,5,win
43,9,14,0.325581395,9,7,8,1.142857143,1,8.0,18,0.418604651,14,14,1.75,9,9,1,2,8,win
35,8,12,0.342857143,8,6,9,1.5,0,9.0,8,0.228571429,5,5,0.555555556,2,6,3,0,4,win
