number,B_AB,B_R,B_H,B_AVG,B_BB,B_SO,B_SB,P_IP,P_H,P_Hed,P_R,T_ERA,P_ER,P_BB,P_SO,P_HR,Result
1,34,6,9,0.264705882,2,6,1,9.0,6,0.176470588,2,0.222222222,1,3,4,0,win
2,42,3,9,0.214285714,6,12,1,12.0,13,0.30952381,4,0.333333333,3,4,4,1,lose
3,37,7,10,0.27027027,3,7,0,9.0,12,0.324324324,6,0.666666667,6,4,2,2,win
4,31,6,8,0.258064516,3,7,0,9.0,12,0.387096774,5,0.555555556,5,3,2,2,win
5,31,3,4,0.129032258,1,9,0,9.0,12,0.387096774,7,0.777777778,7,5,3,0,lose
6,33,3,7,0.212121212,4,9,0,9.0,7,0.212121212,6,0.666666667,6,4,7,0,lose
7,38,10,15,0.394736842,3,8,1,9.0,9,0.236842105,3,0.333333333,3,2,6,1,lose
8,27,2,4,0.148148148,3,3,0,9.0,3,0.111111111,0,0,0,3,9,0,win
9,35,3,9,0.257142857,2,10,1,9.0,9,0.257142857,1,0.111111111,1,2,3,0,win
10,37,6,10,0.27027027,2,7,0,9.0,8,0.216216216,1,0.111111111,1,1,3,0,win
11,29,2,4,0.137931034,4,7,1,9.0,9,0.310344828,1,0.111111111,1,3,3,1,win
12,40,4,11,0.275,2,9,2,10.0,5,0.125,3,0.3,3,3,8,0,win
13,38,7,12,0.315789474,0,5,2,8.2,12,0.315789474,8,0.975609756,8,6,3,0,lose
14,37,11,10,0.27027027,2,6,0,9.0,10,0.27027027,8,0.888888889,6,7,8,1,lose
15,37,6,11,0.297297297,1,4,1,8.0,14,0.378378378,9,1.125,9,2,8,2,lose
16,35,3,6,0.171428571,3,6,3,8.0,10,0.285714286,5,0.625,5,2,4,1,lose
17,47,4,12,0.255319149,4,7,2,12.0,14,0.29787234,4,0.333333333,2,6,5,0,draw
18,30,1,3,0.1,1,11,0,9.0,25,0.833333333,14,1.555555556,10,6,6,1,lose
19,34,9,12,0.352941176,4,5,0,9.0,11,0.323529412,8,0.888888889,8,4,5,1,win
20,19,3,5,0.263157895,0,3,3,5.0,5,0.263157895,3,0.6,3,1,5,2,draw
21,37,3,8,0.216216216,5,10,1,11.0,8,0.216216216,0,0,0,3,10,0,win
22,30,0,6,0.2,2,5,0,8.0,14,0.466666667,10,1.25,7,3,5,0,lose
23,33,2,5,0.151515152,2,7,1,8.0,10,0.303030303,4,0.5,4,2,3,1,lose
24,31,2,7,0.225806452,1,3,0,8.0,16,0.516129032,13,1.625,12,0,5,1,win
25,44,14,19,0.431818182,4,9,2,9.0,7,0.159090909,4,0.444444444,4,3,6,1,lose
26,35,6,9,0.257142857,4,6,1,9.0,4,0.114285714,1,0.111111111,1,3,4,0,win
27,39,7,12,0.307692308,1,11,0,9.0,6,0.153846154,2,0.222222222,2,1,7,1,win
28,36,10,13,0.361111111,3,4,0,10.0,15,0.416666667,9,0.9,9,1,5,2,lose
29,36,8,15,0.416666667,1,6,2,9.0,10,0.277777778,3,0.333333333,3,3,5,0,win
30,35,7,10,0.285714286,1,5,2,9.0,12,0.342857143,6,0.666666667,4,2,2,1,win
31,26,0,2,0.076923077,2,7,0,8.0,10,0.384615385,4,0.5,3,2,11,1,lose
32,30,1,7,0.233333333,2,9,0,8.0,11,0.366666667,6,0.75,5,0,2,0,lose
33,37,3,11,0.297297297,5,8,1,8.0,12,0.324324324,8,1,8,5,5,1,lose
34,36,5,11,0.305555556,3,7,1,8.0,11,0.305555556,7,0.875,7,2,4,1,lose
35,37,4,11,0.297297297,1,4,0,8.0,13,0.351351351,9,1.125,9,3,4,0,lose
36,35,2,7,0.2,3,6,0,10.0,6,0.171428571,3,0.3,1,3,9,0,lose
37,32,1,8,0.25,3,5,0,9.0,11,0.34375,3,0.333333333,3,1,6,1,lose
38,31,8,11,0.35483871,2,3,1,9.0,8,0.258064516,2,0.222222222,2,5,10,0,win
39,27,4,10,0.37037037,1,2,0,7.0,10,0.37037037,7,1,7,6,1,3,lose
40,38,5,12,0.315789474,1,6,0,9.0,13,0.342105263,9,1,9,3,6,1,lose
41,33,2,9,0.272727273,4,4,1,9.0,7,0.212121212,3,0.333333333,3,2,6,0,lose
42,32,0,5,0.15625,1,13,0,9.0,10,0.3125,7,0.777777778,7,3,5,2,lose
43,35,5,8,0.228571429,3,8,1,9.0,6,0.171428571,2,0.222222222,2,1,9,0,win
44,33,6,8,0.242424242,7,6,1,8.0,6,0.181818182,10,1.25,7,8,6,1,win
45,31,2,6,0.193548387,1,5,1,8.0,6,0.193548387,6,0.75,6,9,6,1,lose
46,38,5,13,0.342105263,4,7,1,8.0,14,0.368421053,10,1.25,10,5,6,3,win
47,33,2,9,0.272727273,0,5,1,8.2,7,0.212121212,3,0.365853659,3,4,6,0,lose
48,30,2,6,0.2,6,13,4,9.0,9,0.3,6,0.666666667,4,5,9,1,lose
